NAME,Total Pop (#)_2012,Total HH (#)_2012,Home: Owner_2012,Home: Renter_2012,Race: White_2012,Race: Black/AA_2012,Race: AI/Alaskan_2012,Race: Asian_2012,Race: Hawaiian/PI_2012,Race: Other_2012,Ethnicty: Hisp._2012,Ethnicity: Non-Hisp._2012,Edu: < 9th grade_2012,"Edu: HS, no diploma_2012",Edu: HS Diploma_2012,Edu: Associate's Degree_2012,Edu: Bachelor's Degree_2012,Edu: Grad/Prof Degree_2012,Median HH Income ($)_2012,Age: 18+_2012,Age: 65+_2012,tract,Total Pop (#)_2017,Total HH (#)_2017,Home: Owner_2017,Home: Renter_2017,Race: White_2017,Race: Black/AA_2017,Race: AI/Alaskan_2017,Race: Asian_2017,Race: Hawaiian/PI_2017,Race: Other_2017,Ethnicty: Hisp._2017,Ethnicity: Non-Hisp._2017,Edu: < 9th grade_2017,"Edu: HS, no diploma_2017",Edu: HS Diploma_2017,Edu: Associate's Degree_2017,Edu: Bachelor's Degree_2017,Edu: Grad/Prof Degree_2017,Median HH Income ($)_2017,Age: 18+_2017,Age: 65+_2017,Total Pop (#)_2022,Total HH (#)_2022,Home: Owner_2022,Home: Renter_2022,Race: White_2022,Race: Black/AA_2022,Race: AI/Alaskan_2022,Race: Asian_2022,Race: Hawaiian/PI_2022,Race: Other_2022,Ethnicty: Hisp._2022,Ethnicity: Non-Hisp._2022,Edu: < 9th grade_2022,"Edu: HS, no diploma_2022",Edu: HS Diploma_2022,Edu: Associate's Degree_2022,Edu: Bachelor's Degree_2022,Edu: Grad/Prof Degree_2022,Median HH Income ($)_2022,Age: 18+_2022,Age: 65+_2022
"Census Tract 8171.02, Cook County, Illinois",3499.0,1036.0,75.3,24.7,3.6,88.9,0.5,0.0,0.0,8.7,10.3,89.7,4.2,4.8,36.5,8.6,10.6,10.5,54318.0,74.8,8.5,817102,3347.0,1054.0,76.1,23.9,22.2,76.2,0.3,0.0,0.0,3.0,11.6,88.4,5.3,6.9,34.2,7.1,9.1,5.9,62500.0,75.5,14.3,2956,1039,66.3,33.7,0.0,0.0,0.0,4.2,2956,4.6,0.4,83.1,4.5,10.2,30.5,15.0,15.0,2.7,65186,82.2,16.1
"Census Tract 8124, Cook County, Illinois",3333.0,1174.0,86.5,13.5,83.1,14.8,0.0,3.1,0.0,0.5,2.7,97.3,0.0,0.0,4.7,4.5,32.0,50.2,159800.0,72.7,11.3,812400,3384.0,1121.0,87.8,12.2,84.6,7.9,0.0,10.3,0.7,0.6,3.6,96.4,0.0,0.7,4.6,2.2,27.9,53.8,182969.0,69.7,11.8,3276,1115,90.0,10.0,3.5,11.0,1.0,3.1,3276,5.0,0.0,4.6,0.0,1.0,3.5,1.8,31.6,54.6,223125,69.0,16.1
"Census Tract 8145, Cook County, Illinois",4840.0,1326.0,73.0,27.0,59.8,3.1,1.9,0.7,0.0,37.6,81.9,18.1,16.5,10.9,37.1,6.2,11.8,1.4,54773.0,71.1,12.1,814500,5576.0,1455.0,75.3,24.7,47.7,2.9,1.2,0.0,0.0,49.9,86.8,13.2,23.4,11.6,29.5,4.6,11.0,1.8,63570.0,75.0,13.0,5539,1486,76.0,24.0,0.6,0.9,0.1,56.5,5539,80.8,2.0,1.8,20.3,9.5,31.2,5.8,9.2,3.9,74151,72.1,14.4
"Census Tract 8157.01, Cook County, Illinois",4037.0,1429.0,83.1,16.9,89.2,0.9,0.4,1.9,2.9,6.0,13.3,86.7,0.7,2.6,15.9,6.8,27.1,31.2,97064.0,71.0,14.5,815701,3675.0,1309.0,87.3,12.7,95.4,1.3,0.3,1.2,0.0,3.0,13.0,87.0,0.8,1.3,14.1,3.6,38.0,28.2,104174.0,75.0,17.4,3900,1400,92.7,7.3,2.8,3.7,0.0,10.5,3900,24.8,0.3,0.5,2.4,0.6,12.1,4.8,30.1,35.0,136994,74.7,15.9
"Census Tract 8167, Cook County, Illinois",2828.0,735.0,60.4,39.6,54.9,3.9,3.7,1.6,0.0,40.5,83.7,16.3,25.3,15.7,29.1,8.4,8.0,1.8,51645.0,67.9,6.8,816700,2826.0,789.0,60.1,39.9,60.1,8.9,0.0,3.6,0.0,29.4,72.8,27.2,21.0,7.1,35.3,7.1,7.5,1.7,47560.0,70.5,13.7,2929,967,66.4,33.6,1.0,6.9,0.0,47.6,2929,70.2,6.0,3.0,19.7,12.0,32.0,8.4,8.1,1.8,60531,77.7,15.4
"Census Tract 8266, Cook County, Illinois",5907.0,2087.0,59.5,40.5,8.0,92.9,1.8,0.0,0.0,0.0,1.8,98.2,1.8,10.7,32.7,9.2,6.1,7.1,46375.0,73.2,7.1,826600,5965.0,2234.0,51.6,48.4,6.7,92.9,2.4,0.3,0.0,0.4,2.6,97.4,4.2,8.4,32.8,7.3,11.0,4.4,38917.0,70.7,8.1,5027,1612,55.8,44.2,0.0,0.0,0.0,10.6,5027,17.2,0.0,81.4,3.9,5.4,28.1,7.2,9.9,5.3,40729,65.6,8.2
"Census Tract 8268, Cook County, Illinois",4819.0,1600.0,55.0,45.0,35.0,43.3,1.3,0.0,0.0,23.1,44.6,55.4,14.5,13.0,39.4,8.7,7.4,2.0,37143.0,69.6,9.5,826800,5239.0,1548.0,52.6,47.4,38.5,52.0,0.9,0.2,0.0,11.9,38.8,61.2,15.8,9.9,36.9,6.4,5.7,2.9,35601.0,68.7,9.2,5029,1549,51.8,48.2,4.8,0.0,0.0,23.5,5029,51.3,0.7,30.2,14.6,10.1,33.0,6.6,4.3,6.8,52658,71.2,9.6
"Census Tract 8269.02, Cook County, Illinois",994.0,389.0,67.4,32.6,0.2,99.2,0.0,0.6,0.0,0.0,0.0,100.0,3.0,14.2,45.9,2.6,14.6,0.0,31080.0,80.2,16.4,826902,1290.0,570.0,45.8,54.2,1.0,98.3,0.6,0.0,0.0,0.1,1.6,98.4,1.8,20.5,46.6,2.2,4.0,2.6,20167.0,87.8,20.7,1445,406,43.1,56.9,0.0,0.0,0.0,0.0,1445,14.2,0.5,83.9,8.6,4.9,58.0,7.9,4.9,1.6,31544,71.3,10.6
"Census Tract 5102, Cook County, Illinois",3055.0,1128.0,66.8,33.2,18.1,79.2,0.0,0.9,0.0,2.4,14.4,85.6,4.0,8.5,35.6,8.5,6.0,7.9,47841.0,77.4,12.6,510200,2801.0,1038.0,76.8,23.2,27.0,70.0,1.1,1.1,0.0,3.9,25.8,74.2,9.7,10.1,30.9,6.9,8.8,14.3,43289.0,82.9,17.2,4017,1267,67.6,32.4,0.5,0.6,0.0,5.1,4017,20.2,0.0,72.7,6.6,8.1,31.9,7.4,17.0,9.4,46645,76.3,18.4
"Census Tract 5705, Cook County, Illinois",2527.0,725.0,66.8,33.2,55.2,7.9,0.0,4.1,0.0,32.9,66.0,34.0,21.7,16.3,31.5,5.3,6.9,2.0,40456.0,77.1,13.0,570500,2392.0,731.0,44.3,55.7,63.9,1.1,2.9,5.4,0.2,29.7,74.0,26.0,15.5,10.5,40.3,4.4,7.1,3.4,41875.0,68.7,12.0,2621,756,62.7,37.3,0.7,5.8,0.0,30.8,2621,76.1,0.5,0.0,13.7,16.1,39.1,6.4,6.3,2.2,52222,76.8,13.4
"Census Tract 6006, Cook County, Illinois",2343.0,919.0,49.9,50.1,34.7,1.9,5.1,47.8,0.0,12.8,24.5,75.5,17.4,12.9,37.0,5.4,9.6,7.0,34479.0,81.5,9.0,600600,2992.0,998.0,44.8,55.2,42.0,3.0,0.3,39.7,0.0,15.3,39.1,60.9,22.1,11.9,34.2,7.4,9.7,5.6,34069.0,78.1,10.9,3061,1188,55.9,44.1,0.0,42.8,0.3,13.9,3061,29.2,2.2,0.0,15.1,9.3,32.9,6.2,16.1,8.3,51250,83.6,14.1
"Census Tract 6112, Cook County, Illinois",2343.0,622.0,46.9,53.1,45.7,21.5,1.5,0.6,0.0,30.6,72.5,27.5,33.8,24.0,22.5,1.0,7.6,0.6,32262.0,67.8,3.3,611200,2545.0,708.0,24.0,76.0,54.9,19.0,0.2,0.5,0.0,27.7,72.0,28.0,17.3,7.4,58.0,0.7,3.7,1.9,27697.0,67.3,11.6,2033,796,35.8,64.2,2.3,0.4,0.0,36.4,2033,72.7,6.3,17.0,20.5,11.0,46.1,6.4,5.3,3.3,29470,75.9,12.9
"Census Tract 5501, Cook County, Illinois",7497.0,2641.0,65.7,34.3,73.9,17.3,0.5,0.5,0.0,11.3,49.4,50.6,8.7,13.0,30.4,6.9,13.8,4.9,43358.0,71.0,13.6,550100,6523.0,2449.0,65.2,34.8,90.9,5.4,0.3,0.3,0.0,4.0,56.2,43.8,10.0,5.1,39.5,7.7,9.2,4.5,56445.0,81.0,11.3,6494,2717,61.8,38.2,0.1,0.4,0.0,22.4,6494,49.5,6.0,9.4,6.8,7.4,40.9,4.0,9.4,8.1,57780,76.7,15.5
"Census Tract 5602, Cook County, Illinois",1997.0,597.0,74.7,25.3,14.5,83.7,0.0,0.5,0.0,1.6,8.4,91.6,3.8,18.2,48.1,6.7,4.3,1.1,47917.0,69.6,17.9,560200,1724.0,600.0,82.7,17.3,26.6,62.1,0.4,0.4,0.0,11.2,30.6,69.4,9.1,11.0,39.2,7.5,10.9,5.8,48333.0,82.4,20.5,1547,562,80.6,19.4,1.4,0.6,2.7,18.8,1547,35.8,1.3,58.6,5.9,10.2,42.8,7.5,10.1,6.9,48906,73.9,20.8
"Census Tract 5604, Cook County, Illinois",1422.0,397.0,98.0,2.0,56.8,0.0,0.9,8.2,0.0,34.1,57.7,42.3,16.6,27.0,27.3,3.1,7.7,3.4,64904.0,87.2,14.1,560400,1727.0,456.0,91.0,9.0,66.1,3.4,2.1,4.9,0.0,24.7,71.8,28.2,25.9,9.9,27.6,3.8,10.2,2.3,52969.0,75.0,11.4,1608,480,94.0,6.0,1.8,5.6,0.0,33.6,1608,74.8,0.0,0.0,18.1,18.5,36.9,2.1,12.0,4.5,68750,75.1,15.9
"Census Tract 5701, Cook County, Illinois",1172.0,390.0,70.0,30.0,83.4,0.0,8.3,0.3,0.9,10.4,77.1,22.9,16.5,21.4,31.7,11.9,6.1,1.7,52115.0,78.9,8.4,570100,1294.0,385.0,61.3,38.7,52.9,1.9,5.4,10.0,0.0,33.8,71.5,28.5,21.7,9.3,32.5,5.3,10.0,0.9,54792.0,72.0,4.8,1321,446,76.5,23.5,1.9,10.4,0.0,44.2,1321,78.7,0.0,0.0,23.6,7.3,33.4,8.4,8.6,5.0,56471,73.8,9.7
"Census Tract 5808, Cook County, Illinois",1833.0,494.0,35.2,64.8,77.8,0.9,2.1,0.0,0.0,19.2,94.2,5.8,29.7,12.8,32.2,0.8,6.8,0.3,27656.0,64.4,4.6,580800,2123.0,550.0,38.0,62.0,52.6,0.2,2.4,0.6,0.0,44.9,94.7,5.3,34.5,12.3,33.5,3.7,4.4,1.7,40238.0,72.4,5.4,2110,537,60.1,39.9,2.8,3.3,0.0,59.8,2110,95.5,0.9,0.0,31.8,10.4,36.8,1.7,9.8,2.7,52324,78.4,8.4
"Census Tract 8264.01, Cook County, Illinois",4550.0,1378.0,73.5,26.5,4.9,95.0,0.0,0.4,0.0,1.3,1.4,98.6,2.2,7.0,31.2,9.5,10.8,7.5,53165.0,68.2,7.4,826401,3927.0,1338.0,57.8,42.2,6.7,91.6,0.3,0.3,0.0,1.0,5.6,94.4,3.8,7.8,25.9,10.4,14.4,2.6,52021.0,76.8,10.0,3745,1306,71.8,28.2,0.5,0.3,0.0,2.0,3745,2.8,0.0,95.1,1.1,4.7,33.0,9.0,12.4,3.9,51250,71.5,11.0
"Census Tract 8269.01, Cook County, Illinois",1789.0,628.0,55.9,44.1,9.0,88.9,0.4,0.0,0.0,7.0,2.6,97.4,2.0,13.2,32.5,1.9,9.4,4.7,31111.0,67.1,15.2,826901,1767.0,741.0,47.9,52.1,11.8,72.0,0.0,0.0,0.0,16.5,28.2,71.8,4.0,18.9,49.0,3.1,2.6,1.3,17679.0,71.5,16.2,1734,681,37.4,62.6,3.0,0.0,0.0,7.7,1734,18.2,0.0,74.7,10.4,11.2,47.4,2.4,5.6,3.3,27845,77.7,8.8
