Public Name,Tract,latitude,longitude
Cicero & Berteau,150200,41.956892084,-87.74750923800002
Halsted & 119th Street,530200,41.67799153599998,-87.64178572600002
Kedzie & Touhy,020200,42.012049691000016,-87.70896851700002
Ashland & Irving Park,060400,41.954186386,-87.66891603599998
Archer & Damen,840400,41.83201446999999,-87.67517869800002
Kedzie & 48th Place,842800,41.805777001000024,-87.70398
Kedzie & 45th Street,842800,41.811615116999974,-87.70402509799999
Lake Shore & Roscoe,061902,41.943529618000014,-87.64047498399998
California & Milwaukee,221400,41.92268777300001,-87.697276639
Damen & 69th Street,671500,41.76834419800002,-87.673530873
Kedzie & Ohio,836700,41.89213207099999,-87.706360673
California & 55th Street,835100,41.793567438000025,-87.693710737
Western & 35th Street,840300,41.83039914,-87.68514590199999
Desplaines & Fulton,280100,41.88693999999998,-87.64437800000002
Clark & Balmoral,030900,41.979682035999986,-87.668361011
Stony Island & 95th Street,510300,41.722579000999986,-87.58529500100002
Vincennes & 95th Street,730400,41.72094149999998,-87.650887501
Halsted & 98th Street,730400,41.71606800000001,-87.643193
Homan & Franklin,231500,41.890294830000016,-87.71132927500003
Cicero & 50th Street,560300,41.80223378400001,-87.743173716
Archer & Cermak/Princeton,841100,41.85265119799999,-87.63504513100003
State & 61st Street,834500,41.78389500100002,-87.62551300000001
Clark & Montrose,031900,41.96174417999998,-87.66608024499999
Solidarity Dr & Lynn White Drive,330100,41.866173704000005,-87.60976788099998
Roosevelt & Cicero,813302,41.86582566300001,-87.74439834100002
103rd Street & Union,491100,41.70688442699998,-87.64051631900003
95th Street & Forest,490500,41.72174716400002,-87.616663894
75th Street & Paxton,431200,41.75886117800002,-87.57133435700001
Belmont & Oketo,170900,41.937928,-87.811735999
Oakenwald & 43rd Street,836400,41.816976001,-87.59747700100002
Kedzie & 96th Street,821800,41.71890996000002,-87.70166917900002
State & 58th Street,400500,41.78903500000001,-87.625451999
Central & Byron,150700,41.95124400100002,-87.766860001
Jeffery & 97th Street,510300,41.71887800000002,-87.57521499900002
Stockton & Webster,071400,41.921923413,-87.63562556900001
Harlem & Schneider,812302,41.896187843999996,-87.805116209
3200 S Wentworth,340500,41.836478,-87.63167700000002
Michigan & 14th Street,330100,41.86388299999999,-87.62418500000001
Milwaukee & Lawrence,150300,41.967716309000025,-87.76069066600002
Fullerton & Cicero,191100,41.92411248899998,-87.746495262
87th Street & Cregier,480100,41.73691800099999,-87.58070499899998
Fullerton & Keeler,200300,41.92436700100001,-87.73177600000002
87th Street & Jeffery,480100,41.736991621000016,-87.575502997
Washington & Jefferson,280100,41.88310999999999,-87.64284800000001
4700 W Diversey,190900,41.931517326999995,-87.74326071299998
59th Street & Racine,670900,41.786814607999986,-87.65481154100002
Diversey & Paulina,070700,41.93230932300003,-87.67075232000002
North Ave & Kedzie,240900,41.910015326999996,-87.70664437800002
Division & Laramie,251100,41.90218806799999,-87.755558474
Roosevelt & Racine,833300,41.86710532699999,-87.65651505099999
71st Street & Kedzie,660900,41.764465460999986,-87.7026459
Grand & Keeler,230600,41.90814821700002,-87.731215786
Monterey & Esmond,750500,41.69135562700001,-87.668378512
Jackson & Western,280800,41.877610457,-87.68662143300003
State & 31st Street,350400,41.838467001000026,-87.62681800000001
Clark & Roosevelt,330200,41.867169123,-87.630354012
Sheridan & Montrose,830700,41.96185800000001,-87.65480200000002
Kedzie & 73rd Street,661100,41.760817797000016,-87.702804415
Sheridan & Pine Grove,060800,41.95280766000002,-87.64765892399998
Damen & Cullom,050100,41.959540000000004,-87.678832
Halsted & 89th Street,711500,41.73243200100001,-87.64340000099997
Racine & 53rd Street,612000,41.79762700100002,-87.65483200099999
1300 E 95th Street,500100,41.72215689699999,-87.59239584099998
87th Street & Prairie,440600,41.736410001000024,-87.617908
Harrison & Leavitt,838200,41.87391100100001,-87.68144899999999
Cermak & East,815100,41.85051716999999,-87.788667266
Irving Park & Campbell,843700,41.953906330999985,-87.69097126700001
Orleans & Chestnut,081800,41.89806399999998,-87.63714299899999
Halsted & Aldine,062000,41.94171800100003,-87.64925000099998
Halsted & 36th Street,839900,41.828798000000006,-87.64599099999998
Halsted & 52nd Street,843800,41.79967503400002,-87.64519818100001
Indiana & 34th Street,839500,41.83297500100002,-87.62170699900003
63rd Street & Austin,640300,41.777948219999985,-87.771313448
Lunt & Sheridan,010501,42.00922140199998,-87.662387395
Diversey & Logan,830900,41.93228153000001,-87.68413186599997
35th Street & Archer,840300,41.83042500099998,-87.67727000000002
Peterson & Pulaski,130200,41.99025220200002,-87.72903886900002
Jackson & Pulaski,260700,41.87713666399998,-87.72579473100001
Peterson & Rockwell,020802,41.99056613900001,-87.694468185
79th Street & Morgan,710800,41.75063759300002,-87.64877594900003
Diversey & Halsted,063000,41.93277852699998,-87.64928959500003
100th Street & Torrence,510200,41.71364313999999,-87.56008810200001
69th Street & Indiana,690400,41.769284958000014,-87.62008692799998
Harlem & 59th Street,561000,41.78475322000003,-87.80105911700002
8600 S Kedzie,700502,41.73708929899999,-87.70195313900001
13601 S Avenue O (Senior Bldg),550100,41.64839477300001,-87.539869952
State & 27th Street,839200,41.844381999999996,-87.62667300099997
Dodge & Monroe,810302,42.030587622999974,-87.69924404900001
Narragansett & 58th Street,561100,41.78675099999998,-87.78152399999999
Commercial & 96th Street,510100,41.72086968999997,-87.55096605099999
Kedzie & 110th Street,740100,41.69339500000001,-87.70079399899998
Homan & Maypole,836800,41.88348534900001,-87.71099775099998
Ewing & 105th Street,520400,41.704503569999986,-87.53518555699998
Austin & Railroad Ave (Blue Line),831400,41.87032200099998,-87.77423199999998
Cottage Grove & 106th Street,500200,41.70187685500002,-87.60768673299998
Avenue B & 107th Street,520400,41.70079425900002,-87.52569948000001
Central & George,190300,41.933016001,-87.76622700000001
Navy Pier Terminal,081402,41.89228911399999,-87.61016713100003
Lake Shore & Scott,080100,41.90494900099998,-87.62502400099999
Lake Shore & Brompton,060900,41.94779690500002,-87.64291886900003
State & Van Buren,320400,41.87684766699999,-87.627542538
Broadway & Argyle,031200,41.97336829599999,-87.65964820200003
Sheridan & North Shore,010400,42.003870995,-87.660716821
Kedzie & 47th Street,842800,41.807940255000005,-87.70385679399999
Racine & Roosevelt,833300,41.867263105999996,-87.65659837499999
State & 47th Street,381400,41.809080000999984,-87.62597000099998
Central & Fulton,251900,41.88558182100002,-87.76495562600002
Damen & Division,241400,41.903421804000004,-87.677164458
Cottage Grove & 59th Street,836200,41.78763131699998,-87.60597223500002
Loomis & Blue Island,310600,41.85762293800002,-87.66123266699998
Michigan & 8th Street,320600,41.87178683899998,-87.62403400300002
Nagle & Bryn Mawr,110300,41.98280027200002,-87.78762513499998
Clark & 18th Street,330200,41.85767206899999,-87.630111768
Nagle & Foster,110300,41.97556813099999,-87.787795593
Racine & 81st Street,710800,41.74678777399998,-87.653560631
Kedzie & Jackson,271200,41.877241000000026,-87.705938
Dearborn & Hubbard,081600,41.88993758100003,-87.62950028799997
Central & Wellington,190300,41.934841000000006,-87.76629000000003
Cumberland & Catherine,100500,41.97712999999999,-87.836528999
California & Diversey,210900,41.93239667,-87.69752998299998
Western & 16th Street,842900,41.859817577,-87.68572361399998
Lawrence & Courtland,810501,41.96657548600001,-87.83147139300002
69th Street & Peoria,681100,41.768749015000026,-87.64704072500001
65th Street & Central,820901,41.77429632000002,-87.76168061800001
Kimball & Palmer,221100,41.92108999999999,-87.71205799900002
Ridge & Wayne,030500,41.98557515800002,-87.66312403699999
Archer & Cicero,835200,41.79873174199997,-87.743336489
Racine & 47th Street,611100,41.80854091600003,-87.65533046399997
Broadway & Bryn Mawr/Ridge,030500,41.983869613000024,-87.66018588499998
Broadway & Wellington,063100,41.936578999999995,-87.644362
69th Street & State (Red Line),690300,41.76910793000002,-87.625270511
Irving Park & Western,050500,41.953924856000015,-87.68816718300002
Lincoln & Berwyn,040202,41.97765800000002,-87.69250499999998
Western & Columbus,661000,41.758827268000005,-87.68322680199998
Northwest Hwy & Oliphant,090200,42.002817897,-87.81630711600002
Narragansett & Berteau,170100,41.95645031700002,-87.78679862799999
Central & Augusta,251300,41.898617113,-87.765620571
Damen & 61st Street,670600,41.782850999999994,-87.673862999
Harrison & Central Park,271500,41.87347436699997,-87.715556446
Grand & Franklin,081800,41.891507382999976,-87.63563347899998
Irving Park & Southport,060400,41.954273598999976,-87.66434190400003
Foster & Tripp,140400,41.97539629400001,-87.73447121999999
Lawrence & Western,040700,41.96853651599997,-87.689141855
59th Street & Sacramento,660302,41.786275273,-87.69817227300001
Roosevelt & Loomis,842900,41.866810805,-87.66133342299997
59th Street & Halsted,834800,41.78695303000001,-87.64510502799999
55th Street & Laramie,980100,41.79282341099997,-87.75213894500001
Fullerton & Melvina,191301,41.92369199699999,-87.78061593500001
Clarendon & Bittersweet,031400,41.955751921,-87.649640272
Ridge & Monroe,810100,42.030599026000004,-87.68573726300002
Commercial & 101st Street,510100,41.711806803,-87.55144074499998
300 S Northwest Hwy,805502,42.008173613,-87.82456219199997
Michigan & 125th Place,530600,41.666449821000015,-87.62015135000001
Pulaski & 77th Street,700200,41.75279351500001,-87.72217861799999
Grand & Newcastle,831600,41.92352599999998,-87.797189
Addison & Oakley,050900,41.94671242999999,-87.68592809699999
87th Street & Langley,440700,41.73654488599999,-87.60733105399999
Kedzie & 104th Street,740100,41.70426478000002,-87.70120406400002
Damen & Huron,243100,41.89402100000001,-87.67690399899999
State & 89th Street,440600,41.73260830200002,-87.62397313899999
87th Street & Hamlin,821600,41.73483984799998,-87.71603448500002
79th Street & Anthony,834300,41.75138897099998,-87.58860191000002
Chicago & Leclaire,251600,41.89489200000003,-87.75324999899999
Wentworth & 70th Street,690300,41.76713999999998,-87.62974199899998
Vincennes & 78th Street,691200,41.75286799999998,-87.63377000000003
King Drive & 53rd Street,400300,41.79841669899997,-87.615982352
California & Morse,020302,42.00656099999998,-87.69972299900002
Skokie Blvd & Searle,807400,42.029315871999984,-87.74734592300001
Bronx & Dempster,807000,42.04092439200002,-87.75048791299997
Cottage Grove & 41st Street,836400,41.820362999999986,-87.606744999
Orleans & Hill,838300,41.90217200000001,-87.63746399899998
Kedzie & 93rd Street,821600,41.72450122599997,-87.70202787699998
Baltimore & 132nd Street,550100,41.655592292999984,-87.54720579100001
Central & Cullom,150402,41.95873,-87.76724899999999
Central Park & 15th Street,838700,41.860880001,-87.71532300000001
Michigan & Van Buren/Ida B. Wells,320400,41.876270999999974,-87.62439600099998
Kimball & Cortland,222700,41.91559699999999,-87.71191900000002
Clark & Morse,010702,42.007866587000024,-87.67379160000002
Michigan & 113th Street,491400,41.689171182999985,-87.62093363100001
Kedzie & 38th Street,580200,41.82459720899999,-87.70436649999999
State & Garfield,400300,41.79488542600001,-87.625590848
Halsted & 83rd Street,710900,41.74325499999998,-87.64374700000002
Damen Pink Line Station,310900,41.854200563000006,-87.675820273
Damen & Montrose,050100,41.96134805999998,-87.678856559
Homan & Hirsch,230900,41.906338000000005,-87.71171399999997
Wallace & 31st Street,840100,41.838370666,-87.64134581899998
Racine & 83rd Street,711000,41.74308541200003,-87.65344571899999
Commercial & 95th Street,510100,41.72266241800003,-87.55098705199998
59th Street & Normal,834600,41.78723324700002,-87.63754852300002
Grand & Cicero,831300,41.91397718600001,-87.74578599900002
79th Street & Kedzie,700100,41.74987844100002,-87.70224033599999
47th Street & Lake Park,390100,41.809760548999975,-87.59287895
Halsted & Lincoln/Fullerton,070200,41.92571877400002,-87.648676938
Damen & 18th Street,310900,41.85774894399998,-87.67608521400001
Racine & 59th Street,670100,41.787031798999976,-87.65477982099998
Touhy & California,020301,42.01197422199999,-87.69982334500003
Leland & Western (Brown Line),040600,41.966631758000005,-87.688362633
Division & Hamlin,231200,41.902649999999994,-87.72153300000002
Madison & Morgan,833100,41.881651686,-87.651912347
Howard & Sheridan,010300,42.01919502099997,-87.66617692099999
Lawrence & Pulaski,140601,41.96817665100002,-87.72780483399998
55th Street & Homan,630900,41.79338131700001,-87.70822019299999
63rd Street & Yale,680900,41.77987999999999,-87.63190400000002
Lawrence & Kimball (Brown Line),140701,41.96833126299998,-87.7130492
79th Street & Morgan,710800,41.750506977999976,-87.648614329
Jackson & Kedzie,271200,41.87725803699999,-87.70577393100001
31st Street & Hamlin,830500,41.83688121,-87.71953908400002
Pershing & Wallace,842600,41.82345778199999,-87.64085565200003
69th Street & Ashland,671600,41.768490844999974,-87.66359167000002
95th Street & Jeffery,510300,41.722537972,-87.57567600700003
Madison & Morgan,833000,41.881767001000014,-87.65183300000001
79th Street & Kedzie,700401,41.74970870300001,-87.70256625000002
Armitage & Kostner,831200,41.916990494000004,-87.73600647
Central & Grace,150700,41.949438999999984,-87.766798999
Taylor & Jefferson,841900,41.86965360300002,-87.642397013
Madison & Paulina,838100,41.881370000000004,-87.66951300099998
Roosevelt & Morgan,283800,41.86702954100002,-87.65122371899997
Addison & Southport,831900,41.947014000000024,-87.664133999
Cicero & 50th Street,560400,41.802055755000026,-87.74285636000002
Kedzie & 36th Street,580200,41.827986001,-87.70447500099999
115th Street & Vincennes,750500,41.68477517100001,-87.66736844799999
Jackson & Central,252102,41.876603649,-87.76459825
47th Street & Laflin,842600,41.808697784,-87.66239115500002
103rd Street & Talman,720400,41.70644028100003,-87.68824131000002
Belmont & Broadway,061901,41.94011202799999,-87.64428529999998
Garfield & Wood,611700,41.79399699999999,-87.669601
63rd Street & Cottage Grove (Green Line),420500,41.78046531199999,-87.60617373299999
18th Street & Halsted,310300,41.85815960399998,-87.64676847800001
Foster & Long,110501,41.975248771999986,-87.76264360900001
Grand & Laramie,191200,41.91707096499999,-87.75626209400002
Kedzie & Devon,020702,41.997576794999986,-87.70925683600001
Archer & Ashland,840400,41.83739837899998,-87.66600390999997
Pulaski & Cermak,292500,41.851748934,-87.72486869300002
Pulaski & 76th Street,650500,41.75481569499999,-87.72230991800001
Higgins & Central/Edmunds,110502,41.970319210000014,-87.76726546200001
Wells & 51st Street,835600,41.801612267999985,-87.632057879
Northwest Hwy & Nagle,100200,41.985939883000015,-87.78782074499998
79th Street & Western,700501,41.750001,-87.683067
Garfield & Michigan,400300,41.79474283600001,-87.62280721100001
Western & Grand,242800,41.89078532299999,-87.68682071699999
Homan & Hirsch,230900,41.90650299999999,-87.711859001
Kedzie & Chicago,836700,41.895366000000024,-87.70663099900003
Stony Island & 87th Street,834300,41.73707597800001,-87.585737069
Clark & Bryn Mawr,030400,41.98358424600002,-87.668866434
Michigan & 18th Street,330100,41.85764577600003,-87.62404107600003
Pershing & King Drive,380200,41.82376837300001,-87.61653683999998
63rd Street & Melvina,640600,41.77770701999998,-87.77651841699998
Madison & Wood,838100,41.88132840399999,-87.67186305400003
Illinois (Lower) & St. Clair,081403,41.890948389000016,-87.62212367900003
Division & Keeler,842100,41.90252040799999,-87.73100620600002
Addison & Lincoln,831900,41.94685452800002,-87.67338937599999
79th Street & St. Lawrence,440201,41.751157001000024,-87.61023499999999
63rd Street & Ashland (Green Line),671100,41.779412745,-87.66384994700002
Lunt & Ridge,020400,42.00891769200001,-87.682038949
Harrison & Western,282700,41.87382333900001,-87.68640800200001
Devon & Glenwood,030200,41.998065121000025,-87.665589748
Chicago & Central,251200,41.89493012600002,-87.76526377800002
Howard & Ridge,810200,42.019551897999975,-87.68439803899997
16th Street & Kedzie,843100,41.85913506000003,-87.70533055499999
Armitage & Central Park,221000,41.91733959499999,-87.71666649500003
79th Street & Kostner,700200,41.74944700100002,-87.73141500000003
Adams & Canal,281900,41.879358000000025,-87.63940099899997
Peterson & Central Park,130100,41.99030653099999,-87.71865377900002
Chicago & Sacramento,836600,41.89566658799998,-87.702641427
Harrison & Laramie,252201,41.87301839700001,-87.75465066800001
Cermak & Western,841200,41.852104252000004,-87.68616097199998
Howard & Custer,810200,42.019502147000026,-87.68028044900001
Pershing & Wood,590700,41.82327775300001,-87.670121085
Garfield & Loomis,611900,41.79414586299998,-87.660093184
Wilson & Clarendon,031502,41.96543657699999,-87.65014913599998
Division & Lavergne,251100,41.902246327,-87.75061542600002
51st Street & Wood,611700,41.801203000999976,-87.669691
Chicago & Central,251400,41.89479043199998,-87.76552391899997
North Ave & Clybourn/Halsted (Red Line),842200,41.91083785000001,-87.64897588999997
Pershing & California,580501,41.822709513999996,-87.69477959599999
79th Street & Ellis,691500,41.751397236,-87.60022579399998
Lawrence & Broadway,031100,41.96909402,-87.65993993199999
Diversey & Lavergne,190200,41.931561663000025,-87.75136143700001
Grand & Sacramento,836600,41.896863627000016,-87.70280055400002
Diversey & Sayre,180100,41.93089308399999,-87.80083523100001
Pulaski & Bryn Mawr,130100,41.983052842999996,-87.72834989799998
Western & Belmont/Clybourn,051000,41.93964003100001,-87.68789067099999
King Drive & 25th Street,841000,41.847657706999996,-87.61729198400002
Addison & Elston,160800,41.94666952099999,-87.70908637399998
Montrose & Elston,140500,41.96099881499998,-87.72956698299998
Pulaski & Addison,161300,41.94618759100001,-87.72749216900002
Yale & 63rd Street,834600,41.780100893999986,-87.63185496699998
Wentworth & 73rd Street,691100,41.761973001,-87.629753
Cottage Grove & 111th Street,500200,41.693101024999976,-87.60966564400002
Golf Road & Waukegan (Avon),808400,42.054878342999984,-87.797903448
Belmont & Narragansett,190401,41.93825133500002,-87.78565251200001
Madison & Cicero,251800,41.88060933700001,-87.74512281099999
Diversey & Southport,062700,41.93256418499999,-87.66364782099998
Damen & Foster,040402,41.97591942899999,-87.67929644399999
State & 24th Street,841000,41.84944829900002,-87.62689904199999
Fullerton & Lavergne,191100,41.924085823999974,-87.75132597700002
26th Street & California Avenue,843500,41.84462757099999,-87.69534677799999
35th Street & State (Green Line),351400,41.830952466999975,-87.62617168600002
Wells & 52nd Street,835600,41.800185,-87.63201200100002
31st Street & Morgan,600900,41.83791345899999,-87.65117585500002
Damen & 71st Street,672000,41.764652075000015,-87.67362649199998
Pershing & King Drive,835900,41.82375463699998,-87.61735022900001
119th Street & Wentworth,530501,41.67791638699998,-87.627568924
North Ave & Ashland,241500,41.910556568000004,-87.667877734
95th Street & Leavitt,720300,41.72088921400001,-87.67735639
Lawrence & Austin/Mason,150401,41.96758666400001,-87.77692805200002
Montrose & Menard,150402,41.960354000999985,-87.77225199999998
35th Street & Wallace,839900,41.830750935000026,-87.64096853900003
111th Street & Bell,750500,41.69174656000001,-87.67768895900002
Lunt & Western,020400,42.00865640500001,-87.68995666199999
Clinton & Jackson,281900,41.87814000100002,-87.64115099999998
Ogden & Taylor,838200,41.86893196699998,-87.68084430800002
Foster & Kostner,130200,41.97548306599998,-87.738211471
Addison & Melvina,171100,41.945659999999975,-87.781481999
Kimball & Montrose,160501,41.96104200000002,-87.71306099999998
Western & 59th Street,835000,41.78628903600003,-87.683963688
Ashland & Taylor,838200,41.86899322099998,-87.66659906699999
Wells & Grand,081800,41.89171842799999,-87.63416133499999
Lake Shore & Cornelia,061902,41.94661853299999,-87.642378157
Ridge & Broadway/Bryn Mawr,030500,41.98371405400002,-87.660337147
Western & Warren,837800,41.882192585999974,-87.68659653200001
King Drive & 87th Street,440600,41.73634175500001,-87.61459114600001
Pulaski & 107th Street,740300,41.69850894699999,-87.72051155399998
Kedzie & 112th Street,740100,41.68964999999997,-87.70065599899999
Narragansett & Belle Plaine,150502,41.95502499999998,-87.78654799999998
Clark & Arlington,070101,41.92697261500001,-87.64121211899999
State & 82nd Street,440300,41.745317,-87.62433800000002
Stony Island & 70th Street,430200,41.76773413199999,-87.585862572
95th Red Line Station,834000,41.72266300000001,-87.62485600000002
103rd Street & Vincennes,730600,41.706859415,-87.65546759699998
95th Street & Michigan,490300,41.721876742999996,-87.62102781300001
Taylor & Morgan,833300,41.869553999999994,-87.65148299999998
Peterson & Kostner,120300,41.99010086599998,-87.73823201900001
16th Street & Albany,843100,41.859205428999985,-87.70307081800001
51st Street & Kedzie,630200,41.800900651000006,-87.70360856999997
Chicago & California,242700,41.895731008999974,-87.696922228
Root & Union,842600,41.819004072999974,-87.64322485399998
Balbo & Columbus,320400,41.873264000999995,-87.62100200100002
Belmont & Kilpatrick,151002,41.93893034400003,-87.74379130199998
79th Street & Western,700100,41.750200000999996,-87.682612
Irving Park & Laramie,150300,41.953398381,-87.757354884
87th Street & Greenwood,440102,41.73679499999997,-87.597422
79th Street & Tripp,700200,41.74950999999999,-87.72756499899998
Ashland & Balmoral,030900,41.979721412,-87.66958082000002
Jackson & Hamlin,260800,41.877210504000004,-87.72104802299998
Addison & Laramie,150800,41.946016801999974,-87.756753188
Addison & St. Louis,160800,41.94659370400001,-87.715061375
Michigan & Jackson,320400,41.878135000999976,-87.62419299999999
Cicero & Wellington,190100,41.93510673700001,-87.746597076
California & 63rd Street,835000,41.77927613700001,-87.69332656099999
Ashland & 81st Street,710600,41.746924751999984,-87.66321660400001
Western & 69th Street,661000,41.76822045099999,-87.683206584
California & 42nd Street,580600,41.81730927900003,-87.69434508500001
Racine & Garfield,612000,41.79446755599997,-87.65479407499998
Cottage Grove & Marquette Rd,420800,41.77487271899997,-87.60569198600001
Cicero & Maypole,251800,41.884361001,-87.745340999
79th Street & Exchange,460100,41.75185299999998,-87.55308000000002
103rd Street & Eberhart,490902,41.707288108,-87.611437465
79th Street & Vincennes,842400,41.750709452000024,-87.63445710100001
Grand & Halsted/Milwaukee (Blue Line),243500,41.89111519400001,-87.647777147
Ashland & Augusta,242000,41.899870598999996,-87.66726668299998
California & Cermak,840700,41.85209741699998,-87.69537029999998
Clark & Dickens,071400,41.92007542900001,-87.63703088400001
Lake Park & 55th Street,410800,41.79532476600002,-87.587629838
Archer & Loomis/Fuller,600700,41.84166496,-87.657691865
Damen & Blue Island,843200,41.848831666000024,-87.675655286
Stockton & Fullerton,071400,41.925476,-87.63616100000002
Laramie & Madison,251900,41.880580821000024,-87.755152527
Stony Island & 65th Street,843900,41.77707496599999,-87.58646976699998
Sheridan & Wellington,063200,41.93675700099999,-87.639359001
