Station Name,Tract
Dorchester Ave & 49th St,
Narragansett & Irving Park,
MLK Jr Dr & 83rd St,
Sedgwick St & Huron St,
California & 16th St,
Kenton Ave & Madison St,
Artesian Ave & 55th St,
Lakefront Trail & Wilson Ave,
Yates Blvd & 75th St,
Racine Ave & 15th St,
Clark St & Drummond Pl,
Damen Ave & 51st St,
Rockwell St & 57th St,
Clark St & Montrose Ave,
Desplaines St & Randolph St,
Damen Ave & Wellington Ave,
Halsted St & Fulton St,
Halsted St & 35th St,
Manor Ave & Leland Ave,
Cicero Ave & Quincy St,
Pulaski Rd & 60th St,
Broadway & Granville Ave,
Archer (Damen) Ave & 37th St,
Springfield Ave & 80th St,
South Shore Dr & 71st St,
Clark St & Jarvis Ave,
Ellis Ave & 60th St,
Indiana Ave & 40th St,
Tripp Ave & 65th St,
Rush St & Hubbard St,
Sheridan Rd & Irving Park Rd,
Canal St & Adams St,
MLK Jr Dr & 47th St,
Dearborn St & Monroe St,
Mango Ave & Diversey Ave,
Noble St & Milwaukee Ave,
Kilbourn Ave & Roscoe St,
Fairbanks St & Superior St,
Damen Ave & Walnut (Lake) St,
W Washington Blvd & N Peoria St,
Lincoln Ave & Melrose St,
Damen Ave & Division St,
Mulligan Ave & Wellington Ave,
Canal St & Madison St,
Sheridan Rd & Buena Ave,
Western Ave & Grace St,
Pine Grove Ave & Irving Park Rd,
Vernon Ave & 79th St,
Pulaski Rd & Eddy St,
Halsted St & Dickens Ave,
Leavitt St & Chicago Ave,
Kedzie Ave & Foster Ave,
Austin Blvd & Chicago Ave,
California Ave & Cortez St,
Michigan Ave & Madison St,
Broadway & Berwyn Ave,
N Shore Channel Trail & Argyle St,
Kedzie Ave & 24th St,
Keystone Ave & Fullerton Ave,
Woodlawn Ave & 58th St,
Kostner Ave & Wrightwood Ave,
Spaulding Ave & 16th St,
Racine Ave & Garfield Blvd,
Campbell Ave & Montrose Ave,
Dusable Harbor,
Ashland Ave & Wrightwood Ave,
Indiana Ave & 133rd St,
Western Ave & Granville Ave,
Leavitt St & Belmont Ave,
Dearborn St & Adams St,
Dearborn Pkwy & Delaware Pl,
Ogden Ave & Race Ave,
Komensky Ave & 31st St,
Steelworkers Park,
Ashland Ave & Wellington Ave,
Western Ave & 79th St,
Kilpatrick Ave & Parker Ave,
Racine Ave & Belmont Ave,
N Damen Ave & W Chicago Ave,
St. Louis & 71st St,
Leavitt St & Addison St,
Racine Ave & 61st St,
Sedgwick St & North Ave,
Logan Blvd & Elston Ave,
MTV Hubbard St,
Clark St & Elm St,
Michigan Ave & 14th St,
Ashland Ave & Augusta Blvd,
Princeton Ave & Garfield Blvd,
Walsh Park,
Washtenaw Ave & Lawrence Ave,
Pulaski Rd & Lake St,
South Chicago Ave & 83rd St,
Campbell Ave & Augusta Blvd,
Racine Ave & Randolph St,
California Ave & North Ave,
DuSable Lake Shore Dr & North Blvd,
Lincoln Ave & Byron St,
Desplaines St & Kinzie St,
Francisco Ave & Montrose Ave,
Western Blvd & 48th Pl,
Keeler Ave & Carmen Ave,
State St & 54th St,
Wood St & 84th St,
W 103rd St & S Avers Ave,
May St & Cullerton St,
South Chicago Ave & Elliot Ave,
Fullerton & Monitor,
Homan Ave & 65th St,
University Library (NU),808702
Sheffield Ave & Kingsbury St,
Ashland Ave & Pershing Rd,
Greenwood Ave & 79th St,
Lincoln Ave & Fullerton Ave,
Shore Dr & 55th St,
California Ave & Winona St,
Ada St & Washington Blvd,
Sayre & Diversey,
North Ave & New England Ave,
Lamon Ave & Armitage Ave,
Damen Ave & Wabansia Ave,
Francisco Ave & 85th St,
Damen Ave & Melrose Ave,
Ashland Ave & Belle Plaine Ave,
Whipple/Irving Park,
Central Park Blvd & 5th Ave,
Chicago Ave & Sheridan Rd,808702
Artesian Ave & Marquette Rd,
Columbus Dr & Randolph St,
Ogden Ave & Congress Pkwy,
Damen Ave & 87th St,
Burling St & Diversey Pkwy,
Blackstone Ave & Hyde Park Blvd,
Sacramento Ave & Pershing Rd,
Springfield Ave & 47th St,
Stony Island Ave & 75th St,
Carpenter St & Huron St,
Lincoln Ave & Addison St,
Stony Island Ave & 82nd St,
Long Ave & North Ave,
Wells St & Huron St,
Cottage Grove Ave & 47th St,
Laramie Ave & Gladys Ave,
Kedzie Ave & George St,
Larrabee St & Webster Ave,
Clark St & Chicago Ave,
Narragansett Ave & School St,
Wentworth Ave & 35th St,
Columbus Ave & 83rd Pl,
Evanston Civic Center,809300
Orleans St & Chestnut St (NEXT Apts),
Sacramento Blvd & Polk St,
Hoyne Ave & 47th St,
St Louis Ave & 59th St,
Washtenaw Ave & Polk St,
Kildare Ave & 47th St,
Kenneth Ave & Lawrence Ave,
State St & 19th St,
Central Ave & Roscoe St,
Latrobe Ave & Chicago Ave,
Hermitage Ave & Polk St,
LaSalle St & Jackson Blvd,
Menard Ave & Division St,
McCormick Place,
Prairie Ave & Garfield Blvd,
Southport Ave & Clybourn Ave,
Orleans St & Hubbard St,
Green St & Washington Blvd,
Halsted St & 104th St,
N Clark St & W Elm St,
