Name,Tract,latitude,longitude
North Pulaski,230500,41.909826741522295,-87.73395763671766
West Town,243200,41.8959866601333,-87.66885146148707
Dunning,170800,41.94326414094672,-87.81337714409767
Edgebrook,120200,41.99726483768103,-87.76195500847871
Canaryville,842600,41.81629888225933,-87.64234729089736
West Lawn,650200,41.77870018695052,-87.72391123337832
Chicago Lawn,660400,41.7820212427485,-87.70330155690408
Portage-Cragin,151001,41.93878457266294,-87.75450835319299
Little Italy,283200,41.86941200435479,-87.6606957420766
Vodak-East Side,520400,41.70278246688309,-87.5333451853511
Avalon,834300,41.74694948718104,-87.58594760041711
Harold Washtington Library Center,839100,41.87687015452599,-87.62772881564956
Back of the Yards,611500,41.80843932816765,-87.67742207007632
Rogers Park,10702,42.007121262276826,-87.67345026728378
Austin,251400,41.88922885633457,-87.76541926938717
Altgeld,540101,41.65720889107661,-87.5999882187894
Toman,301803,41.84221457126813,-87.72456927939527
Chicago Bee,351400,41.8285390298405,-87.6264269358847
Beverly,720100,41.72117847138679,-87.67219368336197
Northtown,20302,42.00509134963295,-87.69015074362392
King,839500,41.83264572992749,-87.61741924840885
Thurgood Marshall,710200,41.75778265281332,-87.65400468328193
Oriole Park,100500,41.97804834701509,-87.8141275974761
Logan Square,220500,41.92480848624871,-87.70337694531906
Jeffery Manor,510300,41.71345278508346,-87.56571532174814
West Belmont,831500,41.936654509855714,-87.78595381794747
"Whitney M. Young, Jr.",440201,41.7510788716254,-87.61403153217924
McKinley Park,590600,41.83035086133083,-87.67398434754665
Woodson Regional Library,730500,41.72094901983337,-87.64311988639366
Uptown,32100,41.958383270497336,-87.65352557453093
South Chicago,833900,41.73054222303358,-87.54980074443517
Humboldt Park,230100,41.91074155320149,-87.70559966035097
Roden,100200,41.9919584477081,-87.79825148231362
South Shore,431302,41.76259267260736,-87.56359467998521
Walker,750200,41.6924029326126,-87.67414893562767
Legler Regional,260800,41.879049156678775,-87.72553626897417
West Loop,833000,41.88359890990535,-87.65449014431437
Blackstone,390700,41.80554104177827,-87.58918051099499
Lincoln Belmont,62500,41.94052783126352,-87.67014987560287
Douglass,841500,41.864460857497306,-87.71019902803067
Budlong Woods,20801,41.98383065223891,-87.69642771367762
Galewood-Mont Clare,831600,41.921203444062144,-87.79761935188623
Bezazian,31100,41.97150149289462,-87.66069710643961
Edgewater,30200,41.99097035014006,-87.66037423670883
West Englewood,671200,41.77933820185717,-87.66816953784524
Greater Grand Crossing,841800,41.76235346026834,-87.59931595793955
Mount Greenwood,740300,41.69320541398571,-87.70096000419545
Lozano,310600,41.85780033160432,-87.6612403155948
Merlo,62000,41.94007643234903,-87.64560713693953
Popular Library at Water Works,81300,41.89754620782145,-87.62280880068852
Brainerd,711400,41.73240755808144,-87.65696524488777
"Daley, Richard J.",839700,41.83315213856002,-87.64623813634762
Brighton Park,580502,41.81513827296692,-87.70265871946026
Albany Park,831800,41.97562883867101,-87.71363478527729
Lincoln Park,70400,41.92536242967316,-87.65746334401467
Chinatown,841100,41.85425349516413,-87.63189480514586
Austin-Irving,150502,41.9530695167897,-87.77930247748088
Sherman Park,611900,41.79545550856403,-87.65497382450565
Near North,80300,41.90388824222112,-87.63588271462618
Archer Heights,570300,41.80108613645825,-87.72697186271887
Jefferson Park,150300,41.967544719960586,-87.76154430584546
Clearing,640500,41.77670479864133,-87.78229732936506
Gage Park,630800,41.79363036011779,-87.6940607022641
Hegewisch,550100,41.659222475274646,-87.5492560590065
North Austin,250400,41.90939544448298,-87.7690197166898
Independence,160400,41.954131352287845,-87.71989847953364
Wrightwood-Ashburn,700402,41.73857161395904,-87.70216094829857
Manning,838000,41.881169550397146,-87.67915944223341
West Chicago Avenue,251000,41.89505079323999,-87.74721847852436
Pullman,490901,41.69439850779236,-87.61821392246401
Garfield Ridge,560800,41.79291077047907,-87.77994579336439
Kelly,834600,41.7821213089847,-87.63746053540325
"Daley, Richard M.",836700,41.89388500586114,-87.70642811827469
Sulzer Regional Library,40900,41.96240066983711,-87.68440524225639
Bucktown-Wicker Park,831000,41.9128030496467,-87.68110070355584
Mayfair,140400,41.96819243269948,-87.73797976971684
West Pullman,530300,41.67784347727758,-87.64377471840413
Coleman,420700,41.78033786620989,-87.60710993219197
Scottsdale,700301,41.749401892715696,-87.72435381076787
Hall,381400,41.80741091336495,-87.62271000793453
Little Village,300900,41.849718533282726,-87.70511547795644
