Tract,Total Pop,Park Acres,Parks Score,Libraries Count,Libraries Score,Bus Count,Bus Score,L Count,L Score,Divvy Count,Divvy Score,Transit Score,APS Index
010100,13602.0,10.16,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,0.009999000000000001
010201,24696.0,9.45,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,4.0,2.0,0.009999000000000001
010202,12496.0,7.04,1.0,0.0,0.0,12.0,15.0,4.0,47.0,2.0,17.0,11.0,0.039996
010300,24340.0,4.4,1.0,0.0,0.0,14.0,9.0,2.0,7.0,2.0,7.0,6.0,0.023331
010400,13761.0,46.7,4.0,0.0,0.0,9.0,7.0,0.0,0.0,1.0,3.0,6.0,0.03333
010501,12171.0,0.27,1.0,0.0,0.0,8.0,7.0,0.0,0.0,1.0,4.0,6.0,0.023331
010502,8448.0,0.18,1.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0,8.0,5.0,0.019998
010503,6546.0,0.0,0.0,0.0,0.0,5.0,9.0,2.0,32.0,1.0,11.0,10.0,0.03333
010600,19659.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,6.0,1.0,1.0,5.0,0.016665
010701,10938.0,1.52,1.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,5.0,6.0,0.023331
010702,15042.0,0.0,0.0,1.0,8.0,13.0,10.0,0.0,0.0,2.0,9.0,8.0,0.053328
020100,7944.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,2.0,13.0,9.0,0.029997
020200,14318.0,24.56,2.0,0.0,0.0,20.0,11.0,0.0,0.0,0.0,0.0,11.0,0.04332899999999999
020301,10606.0,11.799999999999999,1.0,0.0,0.0,15.0,11.0,0.0,0.0,0.0,0.0,11.0,0.039996
020302,21392.0,12.9,1.0,1.0,7.0,17.0,12.0,0.0,0.0,1.0,2.0,7.0,0.04999499999999999
020400,8230.0,0.2,1.0,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0,11.0,0.039996
020500,19680.0,89.63,5.0,0.0,0.0,11.0,6.0,0.0,0.0,2.0,6.0,5.0,0.03333
020601,5937.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,16.0,0.053328
020602,5823.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,8.0,0.026664
020701,5184.0,14.87,3.0,0.0,0.0,22.0,48.0,0.0,0.0,3.0,53.0,37.0,0.13332
020702,17318.0,7.53,1.0,0.0,0.0,26.0,11.0,0.0,0.0,0.0,0.0,12.0,0.043329000000000006
020801,18075.0,0.0,0.0,1.0,5.0,14.0,9.0,0.0,0.0,3.0,13.0,8.0,0.04332899999999999
020802,25542.0,4.1,1.0,0.0,0.0,17.0,8.0,0.0,0.0,2.0,4.0,6.0,0.023331
020901,18711.0,0.28,1.0,0.0,0.0,10.0,6.0,0.0,0.0,1.0,2.0,5.0,0.019998
020902,9034.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,4.0,5.0,0.016665
030101,11097.0,2.9,1.0,0.0,0.0,3.0,3.0,2.0,16.0,0.0,0.0,4.0,0.016665
030102,9441.0,0.61,1.0,0.0,0.0,4.0,5.0,2.0,20.0,0.0,0.0,5.0,0.019998
