,NAME,Home: Owner,Home: Renter,Race: White,Race: Black/AA,Race: AI/Alaskan,Race: Asian,Race: Hawaiian/PI,Race: Other,Ethnicty: Hisp.,Ethnicity: Non-Hisp.,Edu: < 9th grade,"Edu: HS, no diploma",Edu: HS Diploma,Edu: Associate's Degree,Edu: Bachelor's Degree,Edu: Grad/Prof Degree,Median HH Income ($),Age: 18+,Age: 65+,state,county,tract
0,"Census Tract 8171.02, Cook County, Illinois",75.3,24.7,3.6,88.9,0.5,0.0,0.0,8.7,10.3,89.7,4.2,4.8,36.5,8.6,10.6,10.5,54318.0,74.8,8.5,17,031,817102
1,"Census Tract 8124, Cook County, Illinois",86.5,13.5,83.1,14.8,0.0,3.1,0.0,0.5,2.7,97.3,0.0,0.0,4.7,4.5,32.0,50.2,159800.0,72.7,11.3,17,031,812400
2,"Census Tract 8145, Cook County, Illinois",73.0,27.0,59.8,3.1,1.9,0.7,0.0,37.6,81.9,18.1,16.5,10.9,37.1,6.2,11.8,1.4,54773.0,71.1,12.1,17,031,814500
3,"Census Tract 8157.01, Cook County, Illinois",83.1,16.9,89.2,0.9,0.4,1.9,2.9,6.0,13.3,86.7,0.7,2.6,15.9,6.8,27.1,31.2,97064.0,71.0,14.5,17,031,815701
4,"Census Tract 8167, Cook County, Illinois",60.4,39.6,54.9,3.9,3.7,1.6,0.0,40.5,83.7,16.3,25.3,15.7,29.1,8.4,8.0,1.8,51645.0,67.9,6.8,17,031,816700
5,"Census Tract 8266, Cook County, Illinois",59.5,40.5,8.0,92.9,1.8,0.0,0.0,0.0,1.8,98.2,1.8,10.7,32.7,9.2,6.1,7.1,46375.0,73.2,7.1,17,031,826600
6,"Census Tract 8268, Cook County, Illinois",55.0,45.0,35.0,43.3,1.3,0.0,0.0,23.1,44.6,55.4,14.5,13.0,39.4,8.7,7.4,2.0,37143.0,69.6,9.5,17,031,826800
7,"Census Tract 8269.02, Cook County, Illinois",67.4,32.6,0.2,99.2,0.0,0.6,0.0,0.0,0.0,100.0,3.0,14.2,45.9,2.6,14.6,0.0,31080.0,80.2,16.4,17,031,826902
8,"Census Tract 5102, Cook County, Illinois",66.8,33.2,18.1,79.2,0.0,0.9,0.0,2.4,14.4,85.6,4.0,8.5,35.6,8.5,6.0,7.9,47841.0,77.4,12.6,17,031,510200
9,"Census Tract 5705, Cook County, Illinois",66.8,33.2,55.2,7.9,0.0,4.1,0.0,32.9,66.0,34.0,21.7,16.3,31.5,5.3,6.9,2.0,40456.0,77.1,13.0,17,031,570500
