,NAME,Total Pop (#),Total HH (#),Home: Owner,Home: Renter,Race: White,Race: Black/AA,Race: AI/Alaskan,Race: Asian,Race: Hawaiian/PI,Race: Other,Ethnicty: Hisp.,Ethnicity: Non-Hisp.,Edu: < 9th grade,"Edu: HS, no diploma",Edu: HS Diploma,Edu: Associate's Degree,Edu: Bachelor's Degree,Edu: Grad/Prof Degree,Median HH Income ($),Age: < 18,Age: 18+,Age: 65+,state,county,tract
0,"Census Tract 8249, Cook County, Illinois",3146.0,1140.0,64.3,35.7,23.3,70.5,0.2,0.4,0.0,6.9,11.0,89.0,2.9,15.0,31.1,11.7,9.9,3.9,30682.0,27.7,72.3,9.8,17,031,824900
1,"Census Tract 8233.04, Cook County, Illinois",5887.0,2326.0,60.0,40.0,73.4,16.0,0.0,1.7,0.0,12.3,25.5,74.5,4.5,7.4,38.7,4.8,14.7,5.7,44545.0,23.4,76.6,16.8,17,031,823304
2,"Census Tract 8245.07, Cook County, Illinois",4384.0,1716.0,73.1,26.9,84.2,6.7,0.2,3.4,0.0,8.3,10.7,89.3,5.0,3.0,27.8,8.1,18.7,8.8,62222.0,23.0,77.0,20.0,17,031,824507
3,"Census Tract 8248, Cook County, Illinois",8094.0,2374.0,67.4,32.6,65.8,24.8,3.1,1.3,0.0,7.2,55.5,44.5,16.5,11.3,33.2,7.3,12.3,2.2,38546.0,39.3,60.7,7.1,17,031,824800
4,"Census Tract 8254, Cook County, Illinois",5098.0,2172.0,72.4,27.6,93.1,4.6,0.3,1.5,0.0,0.5,11.7,88.3,0.7,4.8,32.1,8.5,20.8,7.8,61360.0,21.7,78.3,16.5,17,031,825400
5,"Census Tract 8255.01, Cook County, Illinois",5173.0,1917.0,61.2,38.8,9.3,88.3,0.2,0.0,0.0,2.2,2.1,97.9,1.1,5.2,34.7,13.3,10.1,6.9,50430.0,24.6,75.4,21.0,17,031,825501
6,"Census Tract 8255.03, Cook County, Illinois",7039.0,2582.0,79.0,21.0,13.7,84.4,0.0,2.9,0.0,0.7,2.0,98.0,0.7,2.6,16.9,7.4,29.1,11.3,56242.0,24.4,75.6,17.7,17,031,825503
7,"Census Tract 8255.05, Cook County, Illinois",5540.0,1813.0,77.1,22.9,10.9,89.0,0.0,0.7,0.0,0.3,2.5,97.5,2.6,2.6,19.6,10.2,19.9,13.2,62817.0,24.2,75.8,14.4,17,031,825505
8,"Census Tract 5306, Cook County, Illinois",2636.0,945.0,42.1,57.9,0.4,99.6,0.0,0.0,0.0,0.0,0.3,99.7,2.0,5.4,35.2,8.8,3.9,4.4,32674.0,24.1,75.9,10.2,17,031,530600
9,"Census Tract 3108, Cook County, Illinois",4397.0,1514.0,26.8,73.2,67.0,0.6,1.2,1.9,0.0,30.8,87.4,12.6,26.9,12.9,16.1,7.8,14.6,4.2,48243.0,22.6,77.4,12.6,17,031,310800
10,"Census Tract 3302, Cook County, Illinois",3727.0,1905.0,54.0,46.0,49.4,31.1,1.1,23.0,0.0,0.0,1.3,98.7,6.2,4.1,12.1,2.9,34.7,29.7,78925.0,19.6,80.4,20.7,17,031,330200
11,"Census Tract 3405, Cook County, Illinois",1638.0,820.0,23.7,76.3,56.1,2.3,0.4,38.4,0.0,3.1,10.0,90.0,21.9,9.0,22.5,4.4,13.0,12.7,25242.0,12.7,87.3,33.7,17,031,340500
12,"Census Tract 3515, Cook County, Illinois",507.0,200.0,14.0,86.0,23.7,53.3,0.0,20.3,0.0,2.8,5.7,94.3,0.0,3.8,26.9,8.8,16.2,22.3,23700.0,15.6,84.4,2.4,17,031,351500
13,"Census Tract 3903, Cook County, Illinois",2830.0,1439.0,10.9,89.1,9.2,89.4,0.3,1.5,0.6,1.2,1.8,98.2,2.6,11.1,18.9,4.5,20.5,13.1,21769.0,29.5,70.5,14.6,17,031,390300
14,"Census Tract 4008, Cook County, Illinois",2847.0,1099.0,4.2,95.8,5.5,89.1,9.1,0.0,0.0,0.0,1.5,98.5,4.6,14.3,37.8,4.9,13.8,2.5,20959.0,35.7,64.3,7.0,17,031,400800
15,"Census Tract 4108, Cook County, Illinois",2987.0,1637.0,28.5,71.5,41.7,37.7,2.6,16.9,0.0,5.3,7.9,92.1,0.0,2.0,10.8,3.8,27.3,42.9,40469.0,17.1,82.9,14.9,17,031,410800
