NAME,ADDRESS,CITY,STATE,ZIP
Vodak-East Side,3710 E. 106th St.,Chicago,IL,60617
Albany Park,3401 W. Foster Ave.,Chicago,IL,60625
Avalon,8148 S. Stony Island Ave.,Chicago,IL,60617
Brainerd,1350 W. 89th St.,Chicago,IL,60620
Popular Library at Water Works,163 E. Pearson St.,Chicago,IL,60611
Little Italy,1336 W. Taylor St.,Chicago,IL,60607
Edgebrook,5331 W. Devon Ave.,Chicago,IL,60646
Kelly,6151 S. Normal Blvd.,Chicago,IL,60621
Edgewater,6000 N. Broadway St.,Chicago,IL,60660
North Austin,5724 W. North Ave.,Chicago,IL,60639
Canaryville,642 W. 43rd St.,Chicago,IL,60609
"Daley, Richard J.",3400 S. Halsted St.,Chicago,IL,60608
Manning,6 S. Hoyne Ave.,Chicago,IL,60612
Portage-Cragin,5108 W. Belmont Ave.,Chicago,IL,60641
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,IL,60619
Greater Grand Crossing,1000 E. 73rd St.,Chicago,IL,60619
Scottsdale,4101 W. 79th St.,Chicago,IL,60652
Altgeld,955 E. 131st Street,Chicago,IL,60827
West Lawn,4020 W. 63rd St.,Chicago,IL,60636
Back of the Yards,2111 W. 47th St.,Chicago,IL,60609
Rogers Park,6907 N. Clark St.,Chicago,IL,60626
Garfield Ridge,6348 S. Archer Ave.,Chicago,IL,60638
King,3436 S. King Dr.,Chicago,IL,60616
Walker,11071 S. Hoyne Ave.,Chicago,IL,60643
"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,IL,60612
Humboldt Park,1605 N. Troy St.,Chicago,IL,60647
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,IL,60625
Blackstone,4904 S. Lake Park Ave.,Chicago,IL,60615
North Pulaski,4300 W. North Ave.,Chicago,IL,60639
West Town,1625 W. Chicago Ave.,Chicago,IL,60622
Budlong Woods,5630 N. Lincoln Ave.,Chicago,IL,60659
Lincoln Park,1150 W. Fullerton Ave.,Chicago,IL,60614
West Englewood,1745 W. 63rd St.,Chicago,IL,60651
Archer Heights,5055 S. Archer Ave.,Chicago,IL,60632
Hegewisch,3048 E. 130th St.,Chicago,IL,60633
Independence,4024 N. Elston Ave.,Chicago,IL,60618
Lozano,1805 S. Loomis St.,Chicago,IL,60608
South Shore,2505 E. 73rd St.,Chicago,IL,60649
Chinatown,2100 S. Wentworth Ave.,Chicago,IL,60616
Douglass,3353 W. 13th St.,Chicago,IL,60623
Logan Square,3030 W. Fullerton Ave.,Chicago,IL,60647
Roden,6083 N. Northwest Hwy.,Chicago,IL,60631
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,IL,60707
West Belmont,3104 N. Narragansett Ave.,Chicago,IL,60611
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,IL,60647
Northtown,6800 N. Western Ave.,Chicago,IL,60645
Merlo,644 W. Belmont Ave.,Chicago,IL,60657
West Pullman,830 W. 119th St.,Chicago,IL,60643
Beverly,1962 W. 95th St.,Chicago,IL,60643
Legler Regional,115 S. Pulaski Rd.,Chicago,IL,60624
Thurgood Marshall,7506 S. Racine Ave.,Chicago,IL,60620
Austin,5615 W. Race Ave.,Chicago,IL,60644
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,IL,60652
Jefferson Park,5363 W. Lawrence Ave.,Chicago,IL,60630
McKinley Park,1915 W. 35th St.,Chicago,IL,60609
South Chicago,9055 S. Houston Ave.,Chicago,IL,60617
Clearing,6423 W. 63rd Pl.,Chicago,IL,60638
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,IL,60655
Toman,2708 S. Pulaski Rd.,Chicago,IL,60623
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,IL,60629
Harold Washtington Library Center,400 S. State St.,Chicago,IL,60605
Brighton Park,4314 S. Archer Ave.,Chicago,IL,60632
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,IL,60634
Little Village,2311 S. Kedzie Ave.,Chicago,IL,60623
Lincoln Belmont,1659 W. Melrose St.,Chicago,IL,60657
Gage Park,2807 W. 55th St.,Chicago,IL,60632
Oriole Park,7454 W. Balmoral Ave.,Chicago,IL,60656
Dunning,7455 W. Cornelia Ave.,Chicago,IL,60634
Bezazian,1226 W. Ainslie St.,Chicago,IL,60640
West Loop,122 N. Aberdeen St.,Chicago,IL,60607
Pullman,11001 S. Indiana Ave.,Chicago,IL,60628
Jeffery Manor,2401 E. 100th St.,Chicago,IL,60617
Hall,4801 S. Michigan Ave.,Chicago,IL,60615
Near North,310 W. Division St.,Chicago,IL,60610
Coleman,731 E. 63rd St.,Chicago,IL,60637
Austin-Irving,6100 W. Irving Park Rd.,Chicago,IL,60634
Woodson Regional Library,9525 S. Halsted St.,Chicago,IL,60628
Mayfair,4400 W. Lawrence Ave.,Chicago,IL,60630
Chicago Bee,3647 S. State St.,Chicago,IL,60609
Uptown,929 W. Buena Ave.,Chicago,IL,60613
Sherman Park,5440 S. Racine Ave.,Chicago,IL,60609
