PARK_NO,LOCATION,CITY,STATE,ZIP,PARK
2,2901 S POPLAR AVE,Chicago,IL,60608,MCGUANE (JOHN)
3,3309 S SHIELDS AVE,Chicago,IL,60616,ARMOUR (PHILIP) SQUARE
4,331 W 45TH ST,Chicago,IL,60609,FULLER (MELVILLE)
5,1809 W 50TH ST,Chicago,IL,60609,CORNELL (PAUL) SQUARE
6,3045 E 83RD ST,Chicago,IL,60617,RUSSELL (MARTIN) SQUARE
7,1307 W 52ND ST,Chicago,IL,60609,SHERMAN (JOHN)
14,4430 S MARSHFIELD AVE,Chicago,IL,60609,DAVIS (DR. NATHAN) SQUARE
8,6500 S RACINE AVE,Chicago,IL,60636,OGDEN (WILLIAM)
9,513 W 72ND ST,Chicago,IL,60621,HAMILTON (ALEXANDER)
11,9801 S AVENUE G,Chicago,IL,60617,CALUMET
21,5531 S DR MARTIN LUTHER KING J,Chicago,IL,60637,WASHINGTON (GEORGE)
355,1447-1453 S HARDING AVE,Chicago,IL,60623,NINEBARK
10,6734 S KEDZIE AVE,Chicago,IL,60629,MARQUETTE (JACQUES)
12,8930 S MUSKEGON AVE,Chicago,IL,60617,BESSEMER (HENRY)
13,200 E 111TH ST,Chicago,IL,60628,PALMER (POTTER)
146,3420 N LONG AVE,Chicago,IL,60641,CHOPIN (FREDERIC)
15,7655 S INGLESIDE AVE,Chicago,IL,60619,GRAND CROSSING
16,2400 E 105TH ST,Chicago,IL,60617,TRUMBULL (LYMAN)
17,3035 E 130TH ST,Chicago,IL,60633,MANN (JAMES)
18,501 E 90TH PL,Chicago,IL,60619,TULEY (MURRAY)
19,6401 S STONY ISLAND AVE,Chicago,IL,60637,JACKSON (ANDREW)
22,2415 W 55TH ST,Chicago,IL,60629,GAGE (GEORGE)
23,2210 W PERSHING RD,Chicago,IL,60609,MCKINLEY (WILLIAM)
24,331 E RANDOLPH ST,Chicago,IL,60605,GRANT (ULYSSES)
26,1400 W 84TH ST,Chicago,IL,60620,FOSTER (J. FRANK)
27,425 E MCFETRIDGE DR,Chicago,IL,60616,BURNHAM (DANIEL)
29,1215 E 83RD ST,Chicago,IL,60619,AVALON
33,4350 W 79TH ST,Chicago,IL,60652,RAINEY (EDWARD)
34,1400 S LYNN WHITE DR,Chicago,IL,60605,NORTHERLY ISLAND
40,4222 W FOSTER AVE,Chicago,IL,60630,GOMPERS (SAMUEL)
46,1978 W 111TH ST,Chicago,IL,60643,BOHN (HENRY)
