city,systemstop,public_nam,cross_st,pos,owlroutes,dir,street,routesstpg,geometry,index_right,statefp10,name10,commarea_n,namelsad10,commarea,geoid10,notes,tractce10,countyfp10
CHICAGO,15189.0,Cicero & Berteau,BERTEAU (north leg),FS,,SB,CICERO,"54,54A",POINT (-87.74750923800002 41.956892084),270.0,17,1502,15,Census Tract 1502,15,17031150200,,150200,031
CHICAGO,14545.0,Halsted & 119th Street,119TH STREET,FS,,NB,HALSTED,"8A,108",POINT (-87.64178572600002 41.67799153599998),265.0,17,5302,53,Census Tract 5302,53,17031530200,,530200,031
CHICAGO,15046.0,Kedzie & Touhy,TOUHY,FS,,NB,KEDZIE,11,POINT (-87.70896851700002 42.012049691000016),366.0,17,202,2,Census Tract 202,2,17031020200,,020200,031
CHICAGO,6280.0,Ashland & Irving Park,IRVING PARK,NS,,NB,ASHLAND,"9,X9",POINT (-87.66891603599998 41.954186386),725.0,17,604,6,Census Tract 604,6,17031060400,,060400,031
CHICAGO,4484.0,Archer & Damen,DAMEN,NS,N62,SWB,ARCHER,62,POINT (-87.67517869800002 41.83201446999999),205.0,17,8404,59,Census Tract 8404,59,17031840400,,840400,031
CHICAGO,3082.0,Kedzie & 48th Place,48TH PLACE (north leg),NS,,SB,KEDZIE,"47,52",POINT (-87.70398 41.805777001000024),86.0,17,8428,58,Census Tract 8428,58,17031842800,,842800,031
CHICAGO,3120.0,Kedzie & 45th Street,45TH STREET,NS,,NB,KEDZIE,52,POINT (-87.70402509799999 41.811615116999974),86.0,17,8428,58,Census Tract 8428,58,17031842800,,842800,031
CHICAGO,1157.0,Lake Shore & Roscoe,ROSCOE,NT,,NB,LAKE SHORE,"135,146,151",POINT (-87.64047498399998 41.943529618000014),548.0,17,619.02,6,Census Tract 619.02,6,17031061902,,061902,031
CHICAGO,3192.0,California & Milwaukee,MILWAUKEE,NS,,NB,CALIFORNIA,94,POINT (-87.697276639 41.92268777300001),304.0,17,2214,22,Census Tract 2214,22,17031221400,,221400,031
CHICAGO,8720.0,Damen & 69th Street,69TH STREET,NS,,NB,DAMEN,48,POINT (-87.673530873 41.76834419800002),292.0,17,6715,67,Census Tract 6715,67,17031671500,,671500,031
CHICAGO,14601.0,Kedzie & Ohio,OHIO,FS,,NB,KEDZIE,52,POINT (-87.706360673 41.89213207099999),186.0,17,8367,23,Census Tract 8367,23,17031836700,,836700,031
CHICAGO,4157.0,California & 55th Street,55TH STREET,NS,,NB,CALIFORNIA,94,POINT (-87.693710737 41.793567438000025),115.0,17,8351,63,Census Tract 8351,63,17031835100,,835100,031
CHICAGO,8264.0,Western & 35th Street,35TH STREET,NS,N49,SB,WESTERN,"49,X49",POINT (-87.68514590199999 41.83039914),1.0,17,8403,59,Census Tract 8403,59,17031840300,,840300,031
CHICAGO,5505.0,Desplaines & Fulton,FULTON,NS,,SB,DESPLAINES,56,POINT (-87.64437800000002 41.88693999999998),780.0,17,2801,28,Census Tract 2801,28,17031280100,,280100,031
CHICAGO,14787.0,Clark & Balmoral,BALMORAL,FS,N22,SB,CLARK,22,POINT (-87.668361011 41.979682035999986),575.0,17,309,77,Census Tract 309,77,17031030900,,030900,031
CHICAGO,7211.0,Stony Island & 95th Street,95TH STREET,NS,N5,SB,STONY ISLAND,"N5,28,95",POINT (-87.58529500100002 41.722579000999986),262.0,17,5103,51,Census Tract 5103,51,17031510300,,510300,031
CHICAGO,6569.0,Vincennes & 95th Street,95TH STREET,FS,,SB,VINCENNES,112,POINT (-87.650887501 41.72094149999998),604.0,17,7304,73,Census Tract 7304,73,17031730400,,730400,031
CHICAGO,3701.0,Halsted & 98th Street,98TH STREET,NS,,SB,HALSTED,"8A,108",POINT (-87.643193 41.71606800000001),604.0,17,7304,73,Census Tract 7304,73,17031730400,,730400,031
CHICAGO,11167.0,Homan & Franklin,FRANKLIN(n.service drive),NS,,SB,HOMAN,82,POINT (-87.71132927500003 41.890294830000016),595.0,17,2315,23,Census Tract 2315,23,17031231500,,231500,031
CHICAGO,8123.0,Cicero & 50th Street,50TH STREET,NS,,SB,CICERO,"47,54B",POINT (-87.743173716 41.80223378400001),616.0,17,5603,56,Census Tract 5603,56,17031560300,,560300,031
CHICAGO,4454.0,Archer & Cermak/Princeton,CERMAK/PRINCETON,NS,,NEB,ARCHER,62,POINT (-87.63504513100003 41.85265119799999),2.0,17,8411,34,Census Tract 8411,34,17031841100,,841100,031
CHICAGO,2427.0,State & 61st Street,61ST STREET (north leg),NT,,SB,STATE,29,POINT (-87.62551300000001 41.78389500100002),170.0,17,8345,40,Census Tract 8345,40,17031834500,,834500,031
CHICAGO,1814.0,Clark & Montrose,MONTROSE,NS,N22,SB,CLARK,"22,78",POINT (-87.66608024499999 41.96174417999998),566.0,17,319,3,Census Tract 319,3,17031031900,,031900,031
CHICAGO,17234.0,Solidarity Dr & Lynn White Drive,LYNN WHITE DRIVE,FS,,EB,SOLIDARITY DR,"130,146",POINT (-87.60976788099998 41.866173704000005),385.0,17,3301,33,Census Tract 3301,33,17031330100,,330100,031
CICERO,17441.0,Roosevelt & Cicero,CICERO,FS,,EB,ROOSEVELT,12,POINT (-87.74439834100002 41.86582566300001),,,,,,,,,,
CHICAGO,12159.0,103rd Street & Union,UNION,NS,,EB,103RD STREET,103,POINT (-87.64051631900003 41.70688442699998),536.0,17,4911,49,Census Tract 4911,49,17031491100,,491100,031
CHICAGO,2818.0,95th Street & Forest,FOREST,NS,N5,EB,95TH STREET,"N5,95,111,115",POINT (-87.616663894 41.72174716400002),579.0,17,4905,49,Census Tract 4905,49,17031490500,,490500,031
CHICAGO,10956.0,75th Street & Paxton,PAXTON,NS,N5,EB,75TH STREET,"N5,75",POINT (-87.57133435700001 41.75886117800002),426.0,17,4312,43,Census Tract 4312,43,17031431200,,431200,031
CHICAGO,9234.0,Belmont & Oketo,OKETO,NS,,EB,BELMONT,77,POINT (-87.811735999 41.937928),430.0,17,1709,17,Census Tract 1709,17,17031170900,,170900,031
CHICAGO,7989.0,Oakenwald & 43rd Street,43RD STREET,FS,,NB,OAKENWALD,43,POINT (-87.59747700100002 41.816976001),229.0,17,8364,36,Census Tract 8364,36,17031836400,,836400,031
EVERGREEN PARK,9981.0,Kedzie & 96th Street,96TH STREET,MT,,NB,KEDZIE,52A,POINT (-87.70166917900002 41.71890996000002),,,,,,,,,,
CHICAGO,2305.0,State & 58th Street,58TH STREET,NS,,NB,STATE,29,POINT (-87.625451999 41.78903500000001),408.0,17,4005,40,Census Tract 4005,40,17031400500,,400500,031
CHICAGO,11619.0,Central & Byron,BYRON,NS,,NB,CENTRAL,85,POINT (-87.766860001 41.95124400100002),240.0,17,1507,15,Census Tract 1507,15,17031150700,,150700,031
CHICAGO,5282.0,Jeffery & 97th Street,97TH STREET,MT,,NB,JEFFERY,15,POINT (-87.57521499900002 41.71887800000002),262.0,17,5103,51,Census Tract 5103,51,17031510300,,510300,031
CHICAGO,1143.0,Stockton & Webster,WEBSTER,NT,,NB,STOCKTON,"151,156",POINT (-87.63562556900001 41.921923413),160.0,17,714,7,Census Tract 714,7,17031071400,,071400,031
OAK PARK,15703.0,Harlem & Schneider,SCHNEIDER,NS,,NB,HARLEM,90,POINT (-87.805116209 41.896187843999996),,,,,,,,,,
CHICAGO,6501.0,3200 S Wentworth,3200 SOUTH,MB,,SB,WENTWORTH,"24,31",POINT (-87.63167700000002 41.836478),384.0,17,3405,34,Census Tract 3405,34,17031340500,,340500,031
CHICAGO,1593.0,Michigan & 14th Street,14TH STREET,FS,N4,SB,MICHIGAN,"1,3,4",POINT (-87.62418500000001 41.86388299999999),385.0,17,3301,33,Census Tract 3301,33,17031330100,,330100,031
CHICAGO,17175.0,Milwaukee & Lawrence,LAWRENCE,FS,,SEB,MILWAUKEE,56,POINT (-87.76069066600002 41.967716309000025),271.0,17,1503,15,Census Tract 1503,15,17031150300,,150300,031
CHICAGO,1306.0,Fullerton & Cicero,CICERO,FS,,EB,FULLERTON,74,POINT (-87.746495262 41.92411248899998),315.0,17,1911,19,Census Tract 1911,19,17031191100,,191100,031
CHICAGO,9431.0,87th Street & Cregier,CREGIER,NS,,EB,87TH STREET,87,POINT (-87.58070499899998 41.73691800099999),480.0,17,4801,48,Census Tract 4801,48,17031480100,,480100,031
CHICAGO,1313.0,Fullerton & Keeler,KEELER,NS,,EB,FULLERTON,74,POINT (-87.73177600000002 41.92436700100001),468.0,17,2003,20,Census Tract 2003,20,17031200300,,200300,031
CHICAGO,14557.0,87th Street & Jeffery,JEFFERY,FS,,EB,87TH STREET,87,POINT (-87.575502997 41.736991621000016),480.0,17,4801,48,Census Tract 4801,48,17031480100,,480100,031
CHICAGO,442.0,Washington & Jefferson,JEFFERSON,NS,N20,EB,WASHINGTON,"J14,19,20,56",POINT (-87.64284800000001 41.88310999999999),780.0,17,2801,28,Census Tract 2801,28,17031280100,,280100,031
CHICAGO,15228.0,4700 W Diversey,4700 WEST,MB,,EB,DIVERSEY,76,POINT (-87.74326071299998 41.931517326999995),314.0,17,1909,19,Census Tract 1909,19,17031190900,,190900,031
CHICAGO,12984.0,59th Street & Racine,RACINE,NS,,EB,59TH STREET,59,POINT (-87.65481154100002 41.786814607999986),288.0,17,6709,67,Census Tract 6709,67,17031670900,,670900,031
CHICAGO,11021.0,Diversey & Paulina,PAULINA,FS,,EB,DIVERSEY,76,POINT (-87.67075232000002 41.93230932300003),744.0,17,707,7,Census Tract 707,7,17031070700,,070700,031
CHICAGO,17125.0,North Ave & Kedzie,KEDZIE,FS,,EB,NORTH AVENUE,72,POINT (-87.70664437800002 41.910015326999996),310.0,17,2409,24,Census Tract 2409,24,17031240900,,240900,031
CHICAGO,17186.0,Division & Laramie,LARAMIE,FS,,EB,DIVISION,70,POINT (-87.755558474 41.90218806799999),596.0,17,2511,25,Census Tract 2511,25,17031251100,,251100,031
CHICAGO,336.0,Roosevelt & Racine,RACINE,NS,,WB,ROOSEVELT,12,POINT (-87.65651505099999 41.86710532699999),89.0,17,8333,28,Census Tract 8333,28,17031833300,,833300,031
CHICAGO,4301.0,71st Street & Kedzie,KEDZIE,NS,,WB,71ST STREET,67,POINT (-87.7026459 41.764465460999986),393.0,17,6609,66,Census Tract 6609,66,17031660900,,660900,031
