total_docks,latitude,station_name,longitude,id,docks_in_service,status,short_name,geometry,index_right,statefp10,name10,commarea_n,namelsad10,commarea,geoid10,notes,tractce10,countyfp10
15,41.805772,Dorchester Ave & 49th St,-87.592464,a3ad5c90-a135-11e9-9cda-0a87ae2ba916,15,In Service,KA1503000069,POINT (-87.592464 41.805772),363.0,17,3906,39,Census Tract 3906,39,17031390600,,390600,031
9,41.952614,Narragansett & Irving Park,-87.7853829,1571105068000485406,9,In Service,,POINT (-87.7853829 41.952614),449.0,17,1702,17,Census Tract 1702,17,17031170200,,170200,031
11,41.743116,MLK Jr Dr & 83rd St,-87.6148,a3b2af02-a135-11e9-9cda-0a87ae2ba916,11,In Service,586,POINT (-87.6148 41.743116),411.0,17,4403,44,Census Tract 4403,44,17031440300,,440300,031
27,41.894666,Sedgwick St & Huron St,-87.638437,a3a57527-a135-11e9-9cda-0a87ae2ba916,27,In Service,TA1307000062,POINT (-87.638437 41.894666),660.0,17,818,8,Census Tract 818,8,17031081800,,081800,031
9,41.859228,California & 16th St,-87.695562,1594046405283107528,9,In Service,,POINT (-87.695562 41.859228),13.0,17,8433,29,Census Tract 8433,29,17031843300,,843300,031
11,41.880708,Kenton Ave & Madison St,-87.741018,a3b13836-a135-11e9-9cda-0a87ae2ba916,11,In Service,537,POINT (-87.741018 41.880708),696.0,17,2518,25,Census Tract 2518,25,17031251800,,251800,031
12,41.7940135,Artesian Ave & 55th St,-87.685807,1582242306747684418,12,In Service,,POINT (-87.685807 41.7940135),777.0,17,6305,63,Census Tract 6305,63,17031630500,,630500,031
15,41.965845,Lakefront Trail & Wilson Ave,-87.645361,a3b424f6-a135-11e9-9cda-0a87ae2ba916,15,In Service,639,POINT (-87.645361 41.965845),646.0,17,314,3,Census Tract 314,3,17031031400,,031400,031
11,41.758768,Yates Blvd & 75th St,-87.56644,a3acfa38-a135-11e9-9cda-0a87ae2ba916,11,In Service,KA1503000024,POINT (-87.56644 41.758768),426.0,17,4312,43,Census Tract 4312,43,17031431200,,431200,031
15,41.861267,Racine Ave & 15th St,-87.656625,a3a9a24f-a135-11e9-9cda-0a87ae2ba916,15,In Service,13304,POINT (-87.656625 41.861267),101.0,17,8429,28,Census Tract 8429,28,17031842900,,842900,031
23,41.931248,Clark St & Drummond Pl,-87.644336,a3a80a1e-a135-11e9-9cda-0a87ae2ba916,23,In Service,TA1307000142,POINT (-87.644336 41.931248),795.0,17,702,7,Census Tract 702,7,17031070200,,070200,031
7,41.800908,Damen Ave & 51st St,-87.674684,a3b20960-a135-11e9-9cda-0a87ae2ba916,7,In Service,554,POINT (-87.674684 41.800908),530.0,17,6116,61,Census Tract 6116,61,17031611600,,611600,031
6,41.7903484,Rockwell St & 57th St,-87.6889201,1582242276682913304,6,In Service,,POINT (-87.6889201 41.7903484),115.0,17,8351,63,Census Tract 8351,63,17031835100,,835100,031
19,41.961588,Clark St & Montrose Ave,-87.666036,a3a84fb8-a135-11e9-9cda-0a87ae2ba916,19,In Service,KA1503000022,POINT (-87.666036 41.961588),522.0,17,601,6,Census Tract 601,6,17031060100,,060100,031
23,41.883703,Desplaines St & Randolph St,-87.644238,a3a52df5-a135-11e9-9cda-0a87ae2ba916,23,In Service,15535,POINT (-87.644238 41.883703),780.0,17,2801,28,Census Tract 2801,28,17031280100,,280100,031
15,41.93588,Damen Ave & Wellington Ave,-87.67842,a3a6ed98-a135-11e9-9cda-0a87ae2ba916,15,In Service,13268,POINT (-87.67842 41.93588),625.0,17,514,5,Census Tract 514,5,17031051400,,051400,031
19,41.886871,Halsted St & Fulton St,-87.648089,1789242536879942642,19,In Service,23003,POINT (-87.648089 41.886871),66.0,17,8330,28,Census Tract 8330,28,17031833000,,833000,031
15,41.830661,Halsted St & 35th St,-87.647172,a3a9bbf0-a135-11e9-9cda-0a87ae2ba916,15,In Service,TA1308000043,POINT (-87.647172 41.830661),178.0,17,8399,60,Census Tract 8399,60,17031839900,,839900,031
11,41.965875,Manor Ave & Leland Ave,-87.700825,a3af9064-a135-11e9-9cda-0a87ae2ba916,11,In Service,KA1504000127,POINT (-87.700825 41.965875),268.0,17,1408,14,Census Tract 1408,14,17031140800,,140800,031
11,41.877613,Cicero Ave & Quincy St,-87.745405,a3b143aa-a135-11e9-9cda-0a87ae2ba916,11,In Service,16913,POINT (-87.745405 41.877613),70.0,17,2522.02,25,Census Tract 2522.02,25,17031252202,,252202,031
9,41.784186,Pulaski Rd & 60th St,-87.722564,1593766343243326364,9,In Service,,POINT (-87.722564 41.784186),342.0,17,6501,65,Census Tract 6501,65,17031650100,,650100,031
23,41.9947796884,Broadway & Granville Ave,-87.6602845349,a3af1767-a135-11e9-9cda-0a87ae2ba916,23,In Service,15571,POINT (-87.6602845349 41.9947796884),45.0,17,301.03,77,Census Tract 301.03,77,17031030103,,030103,031
11,41.826712,Archer (Damen) Ave & 37th St,-87.683144,a3b443ce-a135-11e9-9cda-0a87ae2ba916,11,In Service,18022,POINT (-87.683144 41.826712),720.0,17,5905,59,Census Tract 5905,59,17031590500,,590500,031
