id,address,status,match_quality,matched_address,tiger_line_id,tiger_side,state,county,tract,block,longitude,latitude
1220,"462 N PINE AVE, Chicago, IL, 60644",Match,Exact,"462 N PINE AVE, CHICAGO, IL, 60644",111754180.0,L,17.0,31.0,251500.0,4012.0,-87.76341292076268,41.8890662836406
1217,"5200 W KINZIE ST, Chicago, IL, 60644",Match,Exact,"5200 W KINZIE ST, CHICAGO, IL, 60644",605075498.0,R,17.0,31.0,251500.0,2020.0,-87.75611192191508,41.88785711707749
1216,"1607 E 73RD ST, Chicago, IL, 60649",Match,Exact,"1607 E 73RD ST, CHICAGO, IL, 60649",605535767.0,R,17.0,31.0,430900.0,1008.0,-87.58573271527348,41.76235730529328
1215,"9501 S EGGLESTON AVE, Chicago, IL, 60628",Match,Exact,"9501 S EGGLESTON AVE, CHICAGO, IL, 60628",638646473.0,L,17.0,31.0,730500.0,1006.0,-87.63388500057607,41.72145087782269
1214,"1707 N LA SALLE ST, Chicago, IL, 60614",Match,Exact,"1707 N LA SALLE ST, CHICAGO, IL, 60614",111767517.0,R,17.0,31.0,71500.0,2001.0,-87.63314527151152,41.913359313787396
1213,"600 E 37TH ST, Chicago, IL, 60653",Match,Exact,"600 E 37TH ST, CHICAGO, IL, 60653",641724735.0,L,17.0,31.0,360200.0,1002.0,-87.61153911516595,41.8275822352478
1212,"6500 N ALGONQUIN AVE, Chicago, IL, 60646",Match,Exact,"6500 N ALGONQUIN AVE, CHICAGO, IL, 60646",605168097.0,L,17.0,31.0,120200.0,1015.0,-87.76567507883368,42.00013766174533
1211,"4117 N LAVERGNE AVE, Chicago, IL, 60641",Match,Exact,"4117 N LAVERGNE AVE, CHICAGO, IL, 60641",111755511.0,R,17.0,31.0,150200.0,1020.0,-87.75220692937381,41.95544156867743
1210,"8931 S DAUPHIN AVE, Chicago, IL, 60619",Match,Exact,"8931 S DAUPHIN AVE, CHICAGO, IL, 60619",111775016.0,L,17.0,31.0,470100.0,2009.0,-87.6021595830394,41.7320625456544
1219,"1600 W BRYN MAWR AVE, Chicago, IL, 60640",Match,Non_Exact,"1600 W BRYN MAWR AVE, CHICAGO, IL, 60660",605178216.0,R,17.0,31.0,30400.0,2013.0,-87.67052169488204,41.983518375402696
1218,"632 W 71ST ST, Chicago, IL, 60621",Match,Exact,"632 W 71ST ST, CHICAGO, IL, 60621",618054978.0,R,17.0,31.0,681200.0,3009.0,-87.64106602613782,41.76531119678111
1107,"4246 N HERMITAGE AVE, Chicago, IL, 60613",Match,Exact,"4246 N HERMITAGE AVE, CHICAGO, IL, 60613",111761394.0,L,17.0,31.0,60200.0,1004.0,-87.67240663672476,41.958762026552506
1106,"3921 W DIVISION ST, Chicago, IL, 60651",Match,Exact,"3921 W DIVISION ST, CHICAGO, IL, 60651",111759298.0,L,17.0,31.0,231200.0,5000.0,-87.72470208492405,41.90262985176969
2,"2901 S POPLAR AVE, Chicago, IL, 60608",Match,Exact,"2901 S POPLAR AVE, CHICAGO, IL, 60608",112048990.0,L,17.0,31.0,840200.0,1040.0,-87.6496140309946,41.84135879880796
1226,"7117 W PETERSON AVE, Chicago, IL, 60631",Match,Exact,"7117 W PETERSON AVE, CHICAGO, IL, 60631",616788424.0,L,17.0,31.0,100300.0,4017.0,-87.80580578648443,41.989956841384355
3,"3309 S SHIELDS AVE, Chicago, IL, 60616",Match,Exact,"3309 S SHIELDS AVE, CHICAGO, IL, 60616",111828724.0,L,17.0,31.0,340500.0,1025.0,-87.63514904173263,41.83435138777162
1225,"6701 S LOWE AVE, Chicago, IL, 60621",Match,Exact,"6701 S LOWE AVE, CHICAGO, IL, 60621",111847268.0,R,17.0,31.0,681200.0,2000.0,-87.64093431514522,41.77247349362068
4,"331 W 45TH ST, Chicago, IL, 60609",Match,Exact,"331 W 45TH ST, CHICAGO, IL, 60609",605445779.0,L,17.0,31.0,835500.0,2015.0,-87.63539283824105,41.81252900577755
1103,"3531 W GRAND AVE, Chicago, IL, 60651",Match,Exact,"3531 W GRAND AVE, CHICAGO, IL, 60651",111759590.0,L,17.0,31.0,231100.0,1002.0,-87.71467418312108,41.90142770953452
1224,"485 E OHIO ST, Chicago, IL, 60611",Match,Exact,"485 E OHIO ST, CHICAGO, IL, 60611",647634890.0,R,17.0,31.0,81402.0,1004.0,-87.6161307509085,41.892610625752695
